✨15.12.2025, 8:44:13✨ | GET / | Status: 200 | 31ms
✨15.12.2025, 8:44:13✨ | GET / | Status: 200 | 38ms
✨15.12.2025, 8:44:13✨ | GET / | Status: 200 | 11ms
✨15.12.2025, 8:44:13✨ | GET / | Status: 200 | 13ms
✨15.12.2025, 8:44:53✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 24ms
✨15.12.2025, 8:44:53✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 24ms
✨15.12.2025, 8:44:53✨ | GET /category/Cakes | Status: 200 | 8ms
✨15.12.2025, 8:44:53✨ | GET /category/Cakes | Status: 200 | 9ms
✨15.12.2025, 8:44:53✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 17ms
✨15.12.2025, 8:44:53✨ | GET /690089fb0269dfef2da4b04a | Status: 200 | 17ms
✨15.12.2025, 8:44:54✨ | GET /category/Cakes | Status: 200 | 5ms
✨15.12.2025, 8:44:54✨ | GET /category/Cakes | Status: 200 | 5ms
✨15.12.2025, 8:45:00✨ | GET /category/cakes | Status: 200 | 5ms
✨15.12.2025, 8:45:00✨ | GET /category/cakes | Status: 200 | 5ms
✨15.12.2025, 8:45:00✨ | GET /category/cakes | Status: 200 | 5ms
✨15.12.2025, 8:45:00✨ | GET /category/cakes | Status: 200 | 6ms
✨15.12.2025, 8:45:12✨ | GET /6900b82e3a9233396e391bac | Status: 200 | 7ms
✨15.12.2025, 8:45:12✨ | GET /6900b82e3a9233396e391bac | Status: 200 | 7ms
✨15.12.2025, 8:45:12✨ | GET /category/Cakes | Status: 200 | 8ms
✨15.12.2025, 8:45:12✨ | GET /category/Cakes | Status: 200 | 9ms
✨15.12.2025, 8:45:12✨ | GET /6900b82e3a9233396e391bac | Status: 200 | 15ms
✨15.12.2025, 8:45:12✨ | GET /6900b82e3a9233396e391bac | Status: 200 | 16ms
✨15.12.2025, 8:45:12✨ | GET /category/Cakes | Status: 200 | 7ms
✨15.12.2025, 8:45:12✨ | GET /category/Cakes | Status: 200 | 7ms
✨15.12.2025, 8:45:17✨ | GET /category/cakes | Status: 200 | 5ms
✨15.12.2025, 8:45:17✨ | GET /category/cakes | Status: 200 | 5ms
✨15.12.2025, 8:45:17✨ | GET /category/cakes | Status: 200 | 5ms
✨15.12.2025, 8:45:17✨ | GET /category/cakes | Status: 200 | 5ms
✨15.12.2025, 8:51:09✨ | GET / | Status: 200 | 35ms
✨15.12.2025, 8:51:09✨ | GET / | Status: 200 | 41ms
✨15.12.2025, 8:51:09✨ | GET / | Status: 200 | 10ms
✨15.12.2025, 8:51:09✨ | GET / | Status: 200 | 12ms
✨15.12.2025, 8:51:13✨ | GET / | Status: 200 | 10ms
✨15.12.2025, 8:51:13✨ | GET / | Status: 200 | 12ms
✨15.12.2025, 8:51:13✨ | GET / | Status: 200 | 12ms
✨15.12.2025, 8:51:13✨ | GET / | Status: 200 | 9ms
✨15.12.2025, 8:52:00✨ | POST /login | Status: 200 | 143ms
✨15.12.2025, 9:04:07✨ | POST /login | Status: 200 | 145ms
✨15.12.2025, 9:07:30✨ | POST /login | Status: 200 | 103ms
✨15.12.2025, 9:09:57✨ | POST /login | Status: 200 | 98ms
✨15.12.2025, 9:12:23✨ | POST /login | Status: 200 | 121ms
✨15.12.2025, 9:14:26✨ | POST /login | Status: 200 | 100ms
✨15.12.2025, 9:15:47✨ | POST /login | Status: 200 | 103ms
✨15.12.2025, 9:17:32✨ | GET / | Status: 200 | 15ms
✨15.12.2025, 9:17:32✨ | GET / | Status: 200 | 19ms
✨15.12.2025, 9:17:32✨ | GET / | Status: 200 | 11ms
✨15.12.2025, 9:17:32✨ | GET / | Status: 200 | 14ms
✨15.12.2025, 9:17:35✨ | GET /6900b7b93a9233396e391b90 | Status: 200 | 18ms
✨15.12.2025, 9:17:35✨ | GET /6900b7b93a9233396e391b90 | Status: 200 | 18ms
✨15.12.2025, 9:17:35✨ | GET /6900b7b93a9233396e391b90 | Status: 200 | 13ms
✨15.12.2025, 9:17:35✨ | GET /6900b7b93a9233396e391b90 | Status: 200 | 13ms
✨15.12.2025, 9:17:35✨ | GET /category/Cakes | Status: 200 | 9ms
✨15.12.2025, 9:17:35✨ | GET /category/Cakes | Status: 200 | 11ms
✨15.12.2025, 9:17:35✨ | GET /category/Cakes | Status: 200 | 9ms
✨15.12.2025, 9:17:35✨ | GET /category/Cakes | Status: 200 | 10ms
✨15.12.2025, 9:17:44✨ | GET / | Status: 200 | 9ms
✨15.12.2025, 9:17:44✨ | GET / | Status: 200 | 12ms
✨15.12.2025, 9:17:44✨ | GET / | Status: 200 | 9ms
✨15.12.2025, 9:17:44✨ | GET / | Status: 200 | 11ms
✨15.12.2025, 9:20:43✨ | POST /login | Status: 200 | 100ms
✨15.12.2025, 9:23:54✨ | POST /login | Status: 200 | 105ms
