✨31.12.2025, 9:36:17✨ | POST /register | Status: 201 | 164ms
✨31.12.2025, 9:36:59✨ | POST /login | Status: 200 | 109ms
✨31.12.2025, 9:37:03✨ | GET /me | Status: 200 | 10ms
✨31.12.2025, 9:37:03✨ | GET /me | Status: 200 | 10ms
✨31.12.2025, 9:37:03✨ | GET /me | Status: 200 | 18ms
✨31.12.2025, 9:37:03✨ | GET /me | Status: 200 | 18ms
✨31.12.2025, 9:37:48✨ | POST /login | Status: 200 | 107ms
✨31.12.2025, 9:37:58✨ | GET /me | Status: 200 | 6ms
✨31.12.2025, 9:37:58✨ | GET /me | Status: 200 | 7ms
✨31.12.2025, 9:37:58✨ | GET /me | Status: 200 | 5ms
✨31.12.2025, 9:37:58✨ | GET /me | Status: 200 | 6ms
✨31.12.2025, 9:38:00✨ | GET / | Status: 200 | 14ms
✨31.12.2025, 9:38:00✨ | GET / | Status: 200 | 17ms
✨31.12.2025, 9:38:00✨ | GET / | Status: 200 | 10ms
✨31.12.2025, 9:38:00✨ | GET / | Status: 200 | 11ms
✨31.12.2025, 9:38:12✨ | GET / | Status: 200 | 6ms
✨31.12.2025, 9:38:12✨ | GET / | Status: 200 | 7ms
✨31.12.2025, 9:38:12✨ | GET / | Status: 200 | 6ms
✨31.12.2025, 9:38:12✨ | GET / | Status: 200 | 6ms
✨31.12.2025, 9:38:26✨ | GET / | Status: 200 | 5ms
✨31.12.2025, 9:38:26✨ | GET / | Status: 200 | 6ms
✨31.12.2025, 9:38:26✨ | GET / | Status: 200 | 5ms
✨31.12.2025, 9:38:26✨ | GET / | Status: 200 | 6ms
✨31.12.2025, 9:44:33✨ | GET / | Status: 200 | 10ms
✨31.12.2025, 9:44:33✨ | GET / | Status: 200 | 12ms
✨31.12.2025, 9:44:33✨ | GET / | Status: 200 | 9ms
✨31.12.2025, 9:44:33✨ | GET / | Status: 200 | 11ms
✨31.12.2025, 9:45:47✨ | GET / | Status: 200 | 6ms
✨31.12.2025, 9:45:47✨ | GET / | Status: 200 | 8ms
✨31.12.2025, 9:45:47✨ | GET / | Status: 200 | 6ms
✨31.12.2025, 9:45:47✨ | GET / | Status: 200 | 8ms
✨31.12.2025, 9:47:42✨ | GET / | Status: 200 | 8ms
✨31.12.2025, 9:47:42✨ | GET / | Status: 200 | 10ms
✨31.12.2025, 9:47:42✨ | GET / | Status: 200 | 9ms
✨31.12.2025, 9:47:42✨ | GET / | Status: 200 | 11ms
✨31.12.2025, 9:48:02✨ | GET / | Status: 200 | 8ms
✨31.12.2025, 9:48:02✨ | GET / | Status: 200 | 10ms
