✨1.1.2026, 15:45:28✨ | GET /category/platters | Status: 200 | 9ms
✨1.1.2026, 15:45:28✨ | GET /category/platters | Status: 200 | 9ms
✨1.1.2026, 15:45:28✨ | GET /category/platters | Status: 200 | 7ms
✨1.1.2026, 15:45:28✨ | GET /category/platters | Status: 200 | 8ms
✨1.1.2026, 15:45:28✨ | GET /stats | Status: 200 | 18ms
✨1.1.2026, 15:45:28✨ | GET /stats | Status: 200 | 12ms
✨1.1.2026, 15:45:34✨ | GET /stats | Status: 200 | 13ms
✨1.1.2026, 15:45:34✨ | GET /stats | Status: 200 | 12ms
✨1.1.2026, 15:45:37✨ | GET /me | Status: 200 | 5ms
✨1.1.2026, 15:45:37✨ | GET /me | Status: 200 | 5ms
✨1.1.2026, 15:45:37✨ | GET /me | Status: 200 | 5ms
✨1.1.2026, 15:45:37✨ | GET /me | Status: 200 | 5ms
✨1.1.2026, 15:46:38✨ | GET /stats | Status: 200 | 14ms
✨1.1.2026, 15:46:38✨ | GET /stats | Status: 200 | 12ms
✨1.1.2026, 15:47:40✨ | GET /stats | Status: 200 | 41ms
✨1.1.2026, 15:47:40✨ | GET /stats | Status: 200 | 24ms
✨1.1.2026, 15:48:43✨ | GET / | Status: 200 | 9ms
✨1.1.2026, 15:48:43✨ | GET / | Status: 200 | 11ms
✨1.1.2026, 15:48:43✨ | GET / | Status: 200 | 6ms
✨1.1.2026, 15:48:43✨ | GET / | Status: 200 | 7ms
✨1.1.2026, 15:48:51✨ | GET /stats | Status: 200 | 18ms
✨1.1.2026, 15:48:51✨ | GET /stats | Status: 200 | 25ms
✨1.1.2026, 15:49:01✨ | GET /me | Status: 200 | 8ms
✨1.1.2026, 15:49:01✨ | GET /me | Status: 200 | 9ms
✨1.1.2026, 15:49:01✨ | GET /me | Status: 200 | 6ms
✨1.1.2026, 15:49:01✨ | GET /me | Status: 200 | 6ms
✨1.1.2026, 15:49:36✨ | POST /login | Status: 200 | 134ms
✨1.1.2026, 15:50:25✨ | GET /stats | Status: 200 | 44ms
✨1.1.2026, 15:50:25✨ | GET /stats | Status: 200 | 38ms
✨1.1.2026, 15:50:27✨ | GET /stats | Status: 200 | 22ms
✨1.1.2026, 15:50:27✨ | GET /stats | Status: 200 | 32ms
✨1.1.2026, 16:18:33✨ | GET /stats | Status: 200 | 50ms
✨1.1.2026, 16:18:33✨ | GET /stats | Status: 200 | 20ms
✨1.1.2026, 16:18:36✨ | GET /stats | Status: 200 | 25ms
✨1.1.2026, 16:18:36✨ | GET /stats | Status: 200 | 20ms
✨1.1.2026, 16:19:06✨ | GET /stats | Status: 200 | 67ms
✨1.1.2026, 16:19:06✨ | GET /stats | Status: 200 | 17ms
✨1.1.2026, 16:21:30✨ | GET /stats | Status: 200 | 75ms
✨1.1.2026, 16:21:30✨ | GET /stats | Status: 200 | 40ms
✨1.1.2026, 16:21:41✨ | GET /stats | Status: 200 | 86ms
✨1.1.2026, 16:21:42✨ | GET /stats | Status: 200 | 24ms
✨1.1.2026, 16:22:31✨ | GET /new-customers?months=7 | Status: 200 | 32ms
✨1.1.2026, 16:22:31✨ | GET /new-customers?months=7 | Status: 200 | 7ms
✨1.1.2026, 16:22:31✨ | GET /stats | Status: 200 | 56ms
✨1.1.2026, 16:22:31✨ | GET /stats | Status: 200 | 15ms
✨1.1.2026, 16:25:09✨ | GET /new-customers?months=7 | Status: 200 | 20ms
✨1.1.2026, 16:25:09✨ | GET /new-customers?months=7 | Status: 200 | 11ms
✨1.1.2026, 16:25:09✨ | GET /stats | Status: 200 | 50ms
✨1.1.2026, 16:25:09✨ | GET /stats | Status: 200 | 14ms
✨1.1.2026, 16:25:12✨ | GET /new-customers?months=7 | Status: 200 | 6ms
✨1.1.2026, 16:25:12✨ | GET /stats | Status: 200 | 23ms
✨1.1.2026, 16:25:12✨ | GET /new-customers?months=7 | Status: 200 | 16ms
✨1.1.2026, 16:25:12✨ | GET /stats | Status: 200 | 14ms
✨1.1.2026, 16:25:15✨ | GET /new-customers?months=7 | Status: 200 | 7ms
✨1.1.2026, 16:25:15✨ | GET /new-customers?months=7 | Status: 200 | 7ms
